LABNR,C14AGE,C14STD,C13,METHOD,MATERIAL,COUNTRY,SITE,FEATURE,FEATURE_DESC,DEPTH,LAT,LONG,PHASE,LITHICS,POTTERY,IRON,FRUIT,ZOO,CLASS,REMARK,SOURCE
Beta-245106,530,40,,AMS,-,CMR,Dibamba,F. 16 (60-70 cm),Pit,0.65,3.996,9.822,,-,Dibamba B,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-245107,130,40,,AMS,-,CMR,Dibamba,F. 22 (110-130 cm),Pit,1.2,3.996,9.822,,-,Dibamba A,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-245108,770,40,,AMS,-,CMR,Dibamba,F. 25 (50-60 cm),Pit,0.55,3.996,9.822,,-,Dibamba C,slag?,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-245109,790,50,,AMS,-,CMR,Dibamba,F. 27 (120-130 cm),Pit,1.25,3.996,9.822,,-,Dibamba C,-,,-,Ia,,Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1
Beta-245110,250,50,,AMS,-,CMR,Dibamba,F. 28 (60-80 cm),Pit,0.7,3.996,9.822,,-,Dibamba A,slag?,,-,Ia,,Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1
Beta-245111,730,40,,AMS,-,CMR,Dibamba,F. 31 (30-40 cm),Pit,0.35,3.996,9.822,,-,Dibamba C,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-245112,920,50,,AMS,-,CMR,Dibamba,F. 32 (60-90 cm),Pit,0.75,3.996,9.822,,-,Dibamba C,-,,-,Ia,,Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1
Beta-245113,760,40,,AMS,-,CMR,Dibamba,F. 34 (60-80 cm),Pit,0.7,3.996,9.822,,-,Dibamba C,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-245114,260,50,,AMS,-,CMR,Dibamba,F. 35 (100-120 cm),Pit,1.1,3.996,9.822,,-,Dibamba A,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-245115,1980,50,,AMS,-,CMR,Dibamba,F. 37 (40-60 cm),Pit,0.5,3.996,9.822,,-,Dibamba D,-,,-,Ia,,Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1
Beta-245116,1900,50,,AMS,-,CMR,Dibamba,F. 43 (40-55 cm),Pit,0.475,3.996,9.822,,-,Dibamba D,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-245117,530,40,,AMS,-,CMR,Dibamba,F. 51 (40-60 cm),Pit,0.5,3.996,9.822,,-,Dibamba B,-,,-,Ia,,Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1
Beta-245118,830,50,,AMS,-,CMR,Dibamba,F. 54 (100-120 cm),Pit,1.1,3.996,9.822,,-,Dibamba C,slag?,,-,Ia,,Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1
Beta-245119,1810,50,,AMS,-,CMR,Dibamba,F. 73 (150-160 cm),Pit,1.55,3.996,9.822,,-,Dibamba D,-,,-,Ia,,de Saulieu et al. 2017: 25 Tab. 1
Beta-245120,120,50,,AMS,-,CMR,Dibamba,F. 84A (30-40 cm),Pit,0.35,3.996,9.822,,-,Dibamba A,-,,-,Ia,,Oslisly et al. 2013; de Saulieu et al. 2017: 25 Tab. 1
